id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,Mon
1,Fey,Female,48,1,"back, chest",19:31:00,21:29:00,61,True
4,Darren,Male,42,1,,9:54:00,12:00:00,95,True
11,Conrade,Male,40,4,,13:50:00,15:58:00,118,True
12,Ely,Male,41,3,Cardio,10:12:00,11:46:00,131,True
13,Celine,Female,34,4,"Core, back, chest",17:04:00,18:48:00,70,True
16,Katya,Female,45,4,"Leg, Core",17:28:00,19:02:00,65,True
21,Biddie,Female,37,1,,8:19:00,11:12:00,78,True
24,Mar,Male,29,5,,14:34:00,15:13:00,116,True
27,Kenon,Male,33,3,"Core, Leg, Core",15:01:00,16:51:00,49,True
28,Wat,Male,41,1,"chest, Leg, Leg",19:41:00,22:36:00,177,True
31,Keith,Male,42,3,,10:01:00,12:13:00,70,True
32,Nataniel,Male,24,4,,20:53:00,21:34:00,73,True
33,Hestia,Female,19,3,Cardio,10:23:00,11:43:00,77,True
34,Trudi,Female,44,4,Core,14:42:00,16:45:00,97,True
35,Alf,Male,18,3,,18:15:00,19:07:00,165,True
45,Sigismond,Male,38,4,,9:57:00,10:49:00,148,True
47,Sigfrid,Male,12,2,,15:02:00,16:06:00,31,True
48,Dick,Male,44,5,"back, back, Leg",16:29:00,17:17:00,135,True
51,Maximilianus,Male,44,2,,9:43:00,12:09:00,179,True
52,Nathanil,Male,48,4,"chest, Leg",20:58:00,23:44:00,154,True
55,Chadd,Male,39,3,"Leg, back, chest",15:49:00,17:54:00,153,True
56,Paten,Male,35,2,,17:13:00,18:53:00,175,True
58,Benton,Male,38,3,"chest, Leg, back",12:19:00,12:56:00,103,True
59,Gus,Male,22,4,"back, Core, Leg",10:40:00,13:24:00,130,True
61,Eulalie,Female,46,1,,18:30:00,21:01:00,160,True
68,Shelden,Male,16,1,"Leg, Cardio",13:04:00,15:03:00,30,True
69,Carver,Male,18,1,Core,9:04:00,11:29:00,101,True
73,Guillaume,Male,18,2,,17:06:00,19:52:00,145,True
74,Bone,Male,20,5,,20:17:00,22:56:00,72,True
75,Florry,Female,24,1,,9:57:00,12:07:00,65,True
78,Boigie,Male,46,2,"Core, back, chest",16:16:00,18:36:00,45,True
81,Orv,Male,14,3,,12:35:00,14:44:00,138,True
84,Rusty,Male,31,1,"back, Arm, Leg",9:15:00,12:06:00,87,True
86,Kailey,Female,15,2,"chest, Core, back",20:29:00,22:52:00,53,True
88,Karolina,Female,20,2,,11:29:00,12:29:00,83,True
90,Henrie,Female,46,3,,11:13:00,11:44:00,76,True
91,Perri,Female,37,5,,13:04:00,13:50:00,80,True
93,Nicolle,Female,17,4,"chest, back",9:55:00,12:27:00,152,True
97,Barnebas,Male,31,5,,14:16:00,15:12:00,151,True
102,Shayna,Female,31,5,"chest, Leg, Core",17:42:00,18:58:00,117,True
111,Irena,Female,24,5,"Arm, Leg, chest",17:43:00,20:14:00,138,True
116,Esra,Male,23,5,,19:08:00,21:25:00,88,True
118,Esra,Male,44,2,,8:23:00,11:10:00,166,True
120,Selle,Female,49,2,,14:55:00,15:47:00,57,True
121,Robinetta,Female,43,3,"chest, back, Cardio",19:19:00,20:10:00,84,True
122,Corrie,Female,33,1,"back, Cardio, back",20:09:00,21:59:00,163,True
123,Carmencita,Female,48,1,,9:46:00,10:59:00,82,True
125,Jae,Male,13,2,,14:09:00,15:20:00,162,True
126,Iago,Male,23,5,,8:40:00,9:44:00,105,True
128,Lian,Female,34,4,,14:23:00,16:17:00,69,True
129,Bradney,Male,28,2,Leg,12:24:00,14:58:00,65,True
130,Cody,Male,47,1,,19:40:00,20:13:00,154,True
133,Gearalt,Male,28,2,Core,11:35:00,14:04:00,118,True
134,Pooh,Female,21,1,"Leg, Leg, Core",9:31:00,10:47:00,139,True
136,Helga,Female,36,2,,16:51:00,18:58:00,85,True
137,Marga,Female,28,4,,10:32:00,11:36:00,60,True
142,Rosalinde,Female,13,3,Leg,8:13:00,10:45:00,103,True
143,Ginnifer,Female,41,4,,17:21:00,19:50:00,124,True
144,Rickard,Male,30,4,Core,20:30:00,22:23:00,75,True
146,Julina,Female,29,1,"Core, chest, back",20:23:00,23:12:00,101,True
147,Timothee,Male,24,2,"Leg, Core",18:19:00,20:47:00,33,True
150,Cirilo,Male,40,4,,16:10:00,19:07:00,43,True
151,Alberto,Male,33,4,"Cardio, back",20:15:00,23:04:00,124,True
152,Marion,Male,23,3,,20:44:00,22:48:00,131,True
154,Burke,Male,40,5,"back, Core",11:18:00,14:07:00,89,True
156,Jocelyne,Female,47,3,,18:54:00,20:00:00,175,True
162,Peder,Male,28,5,,17:00:00,19:23:00,51,True
164,Quincy,Male,49,1,,17:41:00,19:32:00,49,True
165,Christian,Male,23,1,"Core, back, chest",14:45:00,16:53:00,111,True
166,Bordie,Male,17,3,,20:34:00,21:42:00,50,True
167,Nessie,Female,27,2,"Leg, Cardio, back",9:55:00,11:08:00,105,True
170,Rodger,Male,16,2,,12:12:00,13:58:00,34,True
176,Burty,Male,14,2,,9:34:00,11:21:00,149,True
177,Nadean,Female,25,2,,9:56:00,12:45:00,145,True
180,Nolly,Male,39,1,back,8:33:00,9:21:00,99,True
181,Jeremiah,Male,30,5,"back, Core",10:50:00,13:48:00,52,True
184,Klement,Male,26,4,,17:58:00,19:31:00,141,True
185,Webb,Male,17,2,"Leg, Arm, back",9:20:00,11:42:00,170,True
187,Salvidor,Male,30,5,Cardio,19:49:00,22:43:00,46,True
188,Ethelyn,Female,26,4,back,8:21:00,10:01:00,170,True
189,Terry,Male,48,3,"Leg, Core, chest",11:28:00,12:31:00,135,True
190,Nealy,Male,41,4,,14:47:00,17:45:00,34,True
191,Cirstoforo,Male,21,4,,13:48:00,14:42:00,64,True
192,Kaye,Female,12,5,,17:07:00,19:15:00,83,True
193,Candie,Female,32,2,"Core, Arm",13:57:00,16:42:00,152,True
195,Ferd,Male,41,3,,11:23:00,14:13:00,156,True
196,Kendrick,Male,32,1,,20:01:00,21:55:00,94,True
198,Bret,Male,23,4,chest,13:00:00,14:21:00,96,True
201,Sheffield,Male,19,4,"Arm, Cardio",13:31:00,14:48:00,91,True
204,Roderigo,Male,28,3,"Cardio, Leg",17:13:00,17:49:00,117,True
207,Heall,Male,22,4,"Leg, back, Leg",11:47:00,13:43:00,179,True
208,Willey,Male,45,1,Leg,11:28:00,12:06:00,169,True
209,Earl,Male,31,5,,19:07:00,21:40:00,169,True
210,Trstram,Male,20,1,,17:44:00,19:53:00,156,True
213,Patrizio,Male,47,5,Core,12:58:00,14:21:00,67,True
215,Mindy,Female,37,2,"back, back",8:17:00,9:19:00,123,True
218,Rubina,Female,23,2,"chest, back",18:01:00,18:31:00,177,True
219,Harland,Male,24,4,"Leg, back",14:59:00,16:48:00,155,True
220,Any,Male,31,2,,20:57:00,23:26:00,132,True
223,Mata,Male,41,4,,20:23:00,21:18:00,55,True
225,Cletis,Male,40,2,,20:08:00,21:33:00,47,True
227,Lenka,Female,40,2,"Core, Cardio",20:37:00,21:32:00,138,True
229,Harper,Male,46,3,,20:39:00,21:33:00,81,True
231,Onofredo,Male,25,3,,17:53:00,18:59:00,55,True
232,Bennett,Male,21,5,"Core, Core",15:16:00,17:16:00,158,True
236,Idell,Female,18,2,chest,15:45:00,17:41:00,141,True
238,Irene,Female,19,3,"Cardio, Cardio",20:15:00,22:22:00,60,True
246,Kary,Female,17,4,,9:12:00,11:51:00,176,True
252,Margarita,Female,41,5,"chest, Arm, Leg",10:17:00,11:19:00,166,True
258,Bronnie,Male,45,1,,19:49:00,22:01:00,100,True
259,Muire,Female,25,3,,10:02:00,11:33:00,97,True
260,Jaquelyn,Female,25,2,,8:20:00,11:05:00,114,True
264,Padraig,Male,39,1,,15:42:00,16:34:00,121,True
265,Reina,Female,42,4,,19:52:00,20:36:00,133,True
266,Prudence,Female,45,1,"Core, back, chest",18:07:00,19:57:00,34,True
267,Bertie,Female,17,2,,11:33:00,12:31:00,66,True
269,Vinny,Male,17,2,,9:59:00,10:31:00,36,True
274,Elset,Female,14,1,"Cardio, Core, Core",19:30:00,22:11:00,55,True
275,Gunther,Male,28,3,,9:38:00,12:26:00,118,True
279,Mathilda,Female,31,2,,10:43:00,13:06:00,41,True
282,Daniel,Male,48,5,Core,12:25:00,14:41:00,130,True
283,Dionis,Female,22,2,Cardio,14:55:00,15:32:00,132,True
286,Dimitry,Male,42,5,,20:16:00,22:00:00,169,True
288,Piggy,Male,43,4,,17:30:00,18:03:00,139,True
289,Gwendolin,Female,17,4,"Core, back",8:53:00,11:36:00,34,True
290,Chelsy,Female,41,1,"Core, back, Leg",15:52:00,16:37:00,180,True
291,Barbi,Female,19,1,,9:49:00,11:52:00,34,True
295,Abbie,Male,40,3,,15:28:00,17:03:00,88,True
297,Georas,Male,34,5,,17:29:00,18:11:00,63,True
298,Nicki,Female,43,4,,19:17:00,21:29:00,103,True
299,Avis,Female,47,1,,12:31:00,13:28:00,119,True
301,Amalea,Female,47,2,"back, Leg, chest",13:06:00,13:43:00,124,True
304,Godfry,Male,17,1,,13:53:00,16:36:00,117,True
305,Alfie,Male,24,3,"Leg, Leg, back",8:48:00,11:29:00,72,True
307,Elora,Female,16,2,,17:30:00,19:56:00,40,True
312,Taite,Male,20,5,"Cardio, Leg",17:41:00,19:28:00,141,True
