id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym
7,Anson,Male,36,5,Cardio,19:46:00,20:59:00,30
14,Alie,Female,47,5,,19:50:00,22:43:00,105
15,Charmine,Female,40,1,,20:12:00,20:52:00,171
18,Trixy,Female,47,1,,16:54:00,19:39:00,119
22,Jamey,Male,34,2,back,15:06:00,15:36:00,53
28,Wat,Male,41,1,"chest, Leg, Leg",19:41:00,22:36:00,177
29,Kandy,Female,49,5,,11:25:00,14:03:00,159
30,Nissa,Female,20,2,Leg,20:15:00,22:22:00,124
32,Nataniel,Male,24,4,,20:53:00,21:34:00,73
34,Trudi,Female,44,4,Core,14:42:00,16:45:00,97
35,Alf,Male,18,3,,18:15:00,19:07:00,165
36,Morie,Male,38,4,"Core, chest, Cardio",13:39:00,14:10:00,158
37,Shelby,Female,24,4,,9:02:00,11:39:00,91
38,Sibella,Female,16,3,,8:39:00,9:49:00,167
42,Bambie,Female,20,3,,9:38:00,11:03:00,49
46,Aridatha,Female,14,4,"Leg, Core, Leg",18:41:00,20:18:00,66
50,Nora,Female,30,3,"chest, Core",8:54:00,9:48:00,42
51,Maximilianus,Male,44,2,,9:43:00,12:09:00,179
53,Jada,Female,19,2,"chest, back",9:26:00,11:45:00,30
54,Maud,Female,16,1,"Arms, Leg, chest",20:36:00,23:18:00,156
58,Benton,Male,38,3,"chest, Leg, back",12:19:00,12:56:00,103
62,Talia,Female,38,5,,10:28:00,11:38:00,133
66,Constancia,Female,19,2,,13:06:00,15:49:00,97
68,Shelden,Male,16,1,"Leg, Arms",13:04:00,15:03:00,30
70,Franky,Female,48,4,,11:11:00,13:15:00,53
71,Vincenz,Male,33,3,"chest, chest, Arms",13:04:00,14:35:00,151
73,Guillaume,Male,18,2,,17:06:00,19:52:00,145
75,Florry,Female,24,1,,9:57:00,12:07:00,65
78,Boigie,Male,46,2,"Core, back, chest",16:16:00,18:36:00,45
79,Morgan,Female,40,5,"Core, Cardio, chest",12:44:00,14:31:00,91
80,Merrily,Female,36,4,"back, Core, Leg",18:19:00,19:26:00,124
87,Thorsten,Male,28,2,back,12:51:00,14:27:00,46
89,Shirlee,Female,24,3,back,10:34:00,11:38:00,101
95,Jen,Female,40,3,"chest, Leg, Arms",10:10:00,11:24:00,44
98,Emanuel,Male,34,2,,16:57:00,18:07:00,69
100,Cherise,Female,31,5,,8:34:00,9:53:00,90
102,Shayna,Female,31,5,"chest, Leg, Core",17:42:00,18:58:00,117
103,Falito,Male,49,4,"Arms, Leg, Leg",10:29:00,11:39:00,60
106,Tomkin,Male,27,3,Arms,19:57:00,20:27:00,155
108,Vivia,Female,16,2,"Leg, Core, Cardio",19:52:00,20:53:00,159
114,Catherine,Female,16,4,,13:51:00,16:27:00,164
115,Mae,Female,13,1,,14:36:00,15:26:00,169
116,Esra,Male,23,5,,19:08:00,21:25:00,88
118,Esra,Male,44,2,,8:23:00,11:10:00,166
124,Fifi,Female,12,3,,14:40:00,15:28:00,48
141,Park,Male,29,2,Cardio,19:59:00,21:54:00,137
142,Rosalinde,Female,13,3,Leg,8:13:00,10:45:00,103
145,Winne,Female,46,5,,10:11:00,12:23:00,161
146,Julina,Female,29,1,"Core, chest, back",20:23:00,23:12:00,101
147,Timothee,Male,24,2,"Leg, Core",18:19:00,20:47:00,33
148,Hazlett,Male,49,2,chest,9:08:00,11:13:00,133
157,Jillie,Female,41,5,,11:51:00,13:56:00,59
160,Millie,Female,47,1,"chest, Leg",15:17:00,16:01:00,122
164,Quincy,Male,49,1,,17:41:00,19:32:00,49
167,Nessie,Female,27,2,"Leg, Cardio, back",9:55:00,11:08:00,105
168,Desi,Male,32,5,Leg,12:27:00,14:20:00,130
170,Rodger,Male,16,2,,12:12:00,13:58:00,34
172,Joni,Female,30,5,"Arms, Leg",8:15:00,9:27:00,126
175,Spenser,Male,36,3,back,14:01:00,16:08:00,153
179,Maryrose,Female,15,5,,17:27:00,19:01:00,53
190,Nealy,Male,41,4,,14:47:00,17:45:00,34
194,Bernetta,Female,16,4,,16:54:00,18:55:00,44
196,Kendrick,Male,32,1,,20:01:00,21:55:00,94
198,Bret,Male,23,4,chest,13:00:00,14:21:00,96
201,Sheffield,Male,19,4,"Cardio, Arms",13:31:00,14:48:00,91
202,Gualterio,Male,27,4,,8:21:00,10:03:00,43
211,Ethelin,Female,26,4,"Arms, Leg, Cardio",9:10:00,9:57:00,34
213,Patrizio,Male,47,5,Core,12:58:00,14:21:00,67
219,Harland,Male,24,4,"Leg, back",14:59:00,16:48:00,155
220,Any,Male,31,2,,20:57:00,23:26:00,132
223,Mata,Male,41,4,,20:23:00,21:18:00,55
224,Oriana,Female,21,2,,20:41:00,22:43:00,162
227,Lenka,Female,40,2,"Core, Cardio",20:37:00,21:32:00,138
