id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym
1,Fey,Female,48,1,"back, chest",19:31:00,21:29:00,61
2,Doralin,Female,33,4,,19:31:00,21:55:00,128
8,Uriah,Male,36,3,back,17:45:00,18:57:00,173
9,Borden,Male,40,2,"chest, Leg, chest",9:45:00,11:15:00,115
12,Ely,Male,41,3,Arm,10:12:00,11:46:00,131
17,Chaddie,Male,25,2,,9:25:00,10:59:00,73
22,Jamey,Male,34,2,back,15:06:00,15:36:00,53
23,Kimberlee,Female,18,5,Cardio,20:56:00,21:56:00,127
26,Hew,Male,26,1,"chest, Leg",13:12:00,14:33:00,94
28,Wat,Male,41,1,"chest, Leg, Leg",19:41:00,22:36:00,177
30,Nissa,Female,20,2,Leg,20:15:00,22:22:00,124
35,Alf,Male,18,3,,18:15:00,19:07:00,165
37,Shelby,Female,24,4,,9:02:00,11:39:00,91
41,Samantha,Female,28,5,,16:04:00,18:50:00,88
46,Aridatha,Female,14,4,"Leg, Core, Leg",18:41:00,20:18:00,66
48,Dick,Male,44,5,"back, back, Leg",16:29:00,17:17:00,135
50,Nora,Female,30,3,"chest, Core",8:54:00,9:48:00,42
53,Jada,Female,19,2,"chest, back",9:26:00,11:45:00,30
57,Isahella,Female,12,4,,8:36:00,9:29:00,129
58,Benton,Male,38,3,"chest, Leg, back",12:19:00,12:56:00,103
60,Lesley,Female,33,5,"Core, back",19:38:00,20:36:00,163
62,Talia,Female,38,5,,10:28:00,11:38:00,133
66,Constancia,Female,19,2,,13:06:00,15:49:00,97
67,Arlie,Female,40,1,"Leg, Core, Leg",8:18:00,9:21:00,112
68,Shelden,Male,16,1,"Leg, Arm",13:04:00,15:03:00,30
70,Franky,Female,48,4,,11:11:00,13:15:00,53
71,Vincenz,Male,33,3,"chest, chest, Arm",13:04:00,14:35:00,151
72,Adham,Male,27,2,,10:30:00,12:24:00,98
75,Florry,Female,24,1,,9:57:00,12:07:00,65
77,Alexine,Female,27,1,,15:54:00,16:25:00,119
79,Morgan,Female,40,5,"Core, Cardio, chest",12:44:00,14:31:00,91
