id,first_name,gender,Age,visit_per_week,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,Tue
2,Doralin,Female,33,4,,19:31:00,21:55:00,128,True
4,Darren,Male,42,1,,09:54:00,12:00:00,95,True
5,Petr,Male,32,2,Running,08:29:00,09:48:00,97,True
7,Anson,Male,36,5,Cardio,19:46:00,20:59:00,30,True
16,Katya,Female,45,4,"leg, Core",17:28:00,19:02:00,65,True
17,Chaddie,Male,25,2,,09:25:00,10:59:00,73,True
18,Trixy,Female,47,1,,16:54:00,19:39:00,119,True
20,Abe,Male,17,4,"chest, back, Core",13:55:00,16:26:00,94,True
25,Bernardina,Female,28,4,,08:42:00,10:58:00,101,True
31,Keith,Male,42,3,,10:01:00,12:13:00,70,True
32,Nataniel,Male,24,4,,20:53:00,21:34:00,73,True
37,Shelby,Female,24,4,,09:02:00,11:39:00,91,True
40,Kara,Female,21,4,"Cardio, back",10:26:00,12:49:00,141,True
45,Sigismond,Male,38,4,,09:57:00,10:49:00,148,True
47,Sigfrid,Male,12,2,,15:02:00,16:06:00,31,True
48,Dick,Male,44,5,"back, back, leg",16:29:00,17:17:00,135,True
49,Anette,Female,47,2,back,11:56:00,14:53:00,91,True
55,Chadd,Male,39,3,"leg, back, chest",15:49:00,17:54:00,153,True
57,Isahella,Female,12,4,,08:36:00,09:29:00,129,True
60,Lesley,Female,33,5,"Core, back",19:38:00,20:36:00,163,True
61,Eulalie,Female,46,1,,18:30:00,21:01:00,160,True
63,Chaddy,Male,43,1,,17:22:00,18:51:00,166,True
65,Dierdre,Female,26,3,,13:55:00,14:43:00,133,True
74,Bone,Male,20,5,,20:17:00,22:56:00,72,True
75,Florry,Female,24,1,,09:57:00,12:07:00,65,True
76,Thaddeus,Male,40,1,,15:33:00,17:44:00,99,True
77,Alexine,Female,27,1,,15:54:00,16:25:00,119,True
79,Morgan,Female,40,5,"Core, Cardio, chest",12:44:00,14:31:00,91,True
80,Merrily,Female,36,4,"back, Core, leg",18:19:00,19:26:00,124,True
82,Sayres,Male,46,4,"Running, leg, Core",18:55:00,21:36:00,170,True
84,Rusty,Male,31,1,"back, Arm, Running",09:15:00,12:06:00,87,True
86,Kailey,Female,15,2,"chest, Core, back",20:29:00,22:52:00,53,True
91,Perri,Female,37,5,,13:04:00,13:50:00,80,True
95,Jen,Female,40,3,"chest, leg, Cardio",10:10:00,11:24:00,44,True
101,Giselbert,Male,27,3,Arm,10:11:00,12:14:00,98,True
103,Falito,Male,49,4,"Cardio, Running, leg",10:29:00,11:39:00,60,True
106,Tomkin,Male,27,3,Cardio,19:57:00,20:27:00,155,True
112,Waylin,Male,33,2,"Cardio, Cardio, back",16:33:00,18:39:00,149,True
114,Catherine,Female,16,4,,13:51:00,16:27:00,164,True
119,Bank,Male,45,5,"Arm, chest",13:30:00,14:12:00,138,True
124,Fifi,Female,12,3,,14:40:00,15:28:00,48,True
125,Jae,Male,13,2,,14:09:00,15:20:00,162,True
128,Lian,Female,34,4,,14:23:00,16:17:00,69,True
132,Finley,Male,28,1,,18:11:00,19:24:00,79,True
135,Kris,Female,45,3,,13:05:00,14:33:00,147,True
139,Nesta,Female,17,5,,19:28:00,22:07:00,33,True
141,Park,Male,29,2,Cardio,19:59:00,21:54:00,137,True
142,Rosalinde,Female,13,3,Running,08:13:00,10:45:00,103,True
145,Winne,Female,46,5,,10:11:00,12:23:00,161,True
157,Jillie,Female,41,5,,11:51:00,13:56:00,59,True
158,Torrance,Male,49,1,,14:12:00,17:04:00,90,True
159,Ruthann,Female,14,3,back,17:57:00,19:56:00,102,True
163,Cesaro,Male,43,1,,08:42:00,09:39:00,61,True
164,Quincy,Male,49,1,,17:41:00,19:32:00,49,True
167,Nessie,Female,27,2,"Running, Cardio, back",09:55:00,11:08:00,105,True
168,Desi,Male,32,5,Running,12:27:00,14:20:00,130,True
170,Rodger,Male,16,2,,12:12:00,13:58:00,34,True
172,Joni,Female,30,5,"Cardio, leg",08:15:00,09:27:00,126,True
178,Chick,Male,40,1,,11:02:00,12:47:00,121,True
187,Salvidor,Male,30,5,Cardio,19:49:00,22:43:00,46,True
190,Nealy,Male,41,4,,14:47:00,17:45:00,34,True
191,Cirstoforo,Male,21,4,,13:48:00,14:42:00,64,True
192,Kaye,Female,12,5,,17:07:00,19:15:00,83,True
193,Candie,Female,32,2,"Core, Arm",13:57:00,16:42:00,152,True
195,Ferd,Male,41,3,,11:23:00,14:13:00,156,True
199,Elfie,Female,20,3,,09:55:00,10:32:00,134,True
201,Sheffield,Male,19,4,"Arm, Cardio",13:31:00,14:48:00,91,True
204,Roderigo,Male,28,3,"Cardio, leg",17:13:00,17:49:00,117,True
209,Earl,Male,31,5,,19:07:00,21:40:00,169,True
215,Mindy,Female,37,2,"back, back",08:17:00,09:19:00,123,True
216,Isaak,Male,15,3,,12:37:00,14:46:00,57,True
217,Denver,Male,49,1,,12:42:00,14:21:00,62,True
220,Any,Male,31,2,,20:57:00,23:26:00,132,True
221,Elbert,Male,32,1,,12:13:00,12:50:00,59,True
222,Jesse,Male,26,1,"Cardio, leg, Arm",20:01:00,22:57:00,30,True
223,Mata,Male,41,4,,20:23:00,21:18:00,55,True
226,Marlin,Male,17,4,,15:01:00,16:52:00,33,True
227,Lenka,Female,40,2,"Core, Cardio",20:37:00,21:32:00,138,True
229,Harper,Male,46,3,,20:39:00,21:33:00,81,True
232,Bennett,Male,21,5,"Core, Core",15:16:00,17:16:00,158,True
233,Jennilee,Female,31,5,,08:34:00,11:04:00,170,True
235,Teirtza,Female,31,4,,11:49:00,12:36:00,77,True
236,Idell,Female,18,2,chest,15:45:00,17:41:00,141,True
240,Stanton,Male,47,3,back,15:49:00,17:30:00,47,True
244,Sella,Female,17,5,back,13:50:00,16:37:00,53,True
246,Kary,Female,17,4,,09:12:00,11:51:00,176,True
247,Elvis,Male,38,1,chest,18:44:00,19:43:00,162,True
249,Deloris,Female,21,1,Core,18:00:00,19:58:00,40,True
252,Margarita,Female,41,5,"chest, Arm, leg",10:17:00,11:19:00,166,True
254,Alexei,Male,17,4,,17:12:00,19:36:00,30,True
257,Worth,Male,34,1,Core,08:12:00,10:02:00,139,True
259,Muire,Female,25,3,,10:02:00,11:33:00,97,True
260,Jaquelyn,Female,25,2,,08:20:00,11:05:00,114,True
261,Eamon,Male,46,2,,12:01:00,14:04:00,115,True
264,Padraig,Male,39,1,,15:42:00,16:34:00,121,True
265,Reina,Female,42,4,,19:52:00,20:36:00,133,True
